Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,anterograde synaptic vesicle transport (GO:0048490),2/15,0.0304201943469206,0.7034417422741066,0,0,8.223852441836094,28.72302674541276,AP3M2;AP3D1
GO_Biological_Process_2021,retina homeostasis (GO:0001895),3/36,0.028382392063596,0.7034417422741066,0,0,4.867858917039245,17.339246888943418,TF;PRDX1;HSPB1
GO_Biological_Process_2021,regulation of receptor internalization (GO:0002090),3/36,0.028382392063596,0.7034417422741066,0,0,4.867858917039245,17.339246888943418,ATAD1;CD63;PICK1
GO_Biological_Process_2021,respiratory chain complex IV assembly (GO:0008535),2/23,0.0665916379109913,0.7034417422741066,0,0,5.088880238743999,13.786673564394098,SCO1;COA6
GO_Biological_Process_2021,actin polymerization or depolymerization (GO:0008154),3/50,0.0646744388528225,0.7034417422741066,0,0,3.415416811998605,9.352740604932352,MSRB2;CAPG;GAS7
GO_Biological_Process_2021,neutrophil degranulation (GO:0043312),14/481,0.0635183882173892,0.7034417422741066,0,0,1.6183370027445183,4.460825926976547,VAT1;CD63;GRN;GSTP1;ANO6;PRDX6;HEBP2;PRDX4;COTL1;PADI2;PGM2;ALDOA;HMOX2;PGM1
GO_Biological_Process_2021,secondary alcohol metabolic process (GO:1902652),3/49,0.061602383514125,0.7034417422741066,0,0,3.48984319315752,9.72638392882279,IDH3G;IDH3B;IDH3A
GO_Biological_Process_2021,protein import into peroxisome membrane (GO:0045046),2/22,0.0615305351597608,0.7034417422741066,0,0,5.343596730245231,14.899132470067704,ATAD1;GDAP1
GO_Biological_Process_2021,positive regulation of peptidase activity (GO:0010952),2/22,0.0615305351597608,0.7034417422741066,0,0,5.343596730245231,14.899132470067704,GRN;PSME1
GO_Biological_Process_2021,positive regulation of neutrophil migration (GO:1902624),2/22,0.0615305351597608,0.7034417422741066,0,0,5.343596730245231,14.899132470067704,DNM1L;CD99
GO_Biological_Process_2021,positive regulation of endocytosis (GO:0045807),3/48,0.0586006518398053,0.7034417422741066,0,0,3.5675774134790528,10.121250867451115,TF;CD151;ANO6
